Formula_dcg,Na,Cr,Se,Fe,P,O,Cu,Sb,W,V,C,Mn,Ni,H,S,Mo,Co,Si,As,Re,Ti,Nb,Te,F,Ge,B,N,Sc,Sn,Nd,Ag,Hf,Cl,Pr,Ta
Na3VBPO7,Na,,,,1012.0,1314.0,,,,650.0,,,,,,,,,,,,,,,,800.7,,,,,,,,,
Na7(CoO3)2,Na,,,,,1314.0,,,,,,,,,,,758.0,,,,,,,,,,,,,,,,,,
Na2CuP2O7,Na,,,,1012.0,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaCrN2,Na,652.9,,,,,,,,,,,,,,,,,,,,,,,,,1402.0,,,,,,,,
Na9V14O35,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na(WO3)8,Na,,,,,1314.0,,,770.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NaCu(PO3)3,Na,,,,1012.0,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaVS2,Na,,,,,,,,,650.0,,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na5Fe2P2(CO7)2,Na,,,759.4,1012.0,1314.0,,,,,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
Na5Ti16O32,Na,,,,,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
NaTi8O13,Na,,,,,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
Na8Fe7(PO4)8,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na5CoO4,Na,,,,,1314.0,,,,,,,,,,,758.0,,,,,,,,,,,,,,,,,,
NaCoPO4,Na,,,,1012.0,1314.0,,,,,,,,,,,758.0,,,,,,,,,,,,,,,,,,
NaFeO2,Na,,,759.4,,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na3Fe2(PO4)3,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaFe5O8,Na,,,759.4,,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na6Cu9(PO4)8,Na,,,,1012.0,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaScSn,Na,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0,708.6,,,,,,
NaFePO4,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaMn3P3O13,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
NaNiO2,Na,,,,,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
NaV2O5,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
NaVF4,Na,,,,,,,,,650.0,,,,,,,,,,,,,,1681.0,,,,,,,,,,,
Na7Ti11O24,Na,,,,,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
NaFePO4,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaCrP2O7,Na,652.9,,,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaCoPO4,Na,,,,1012.0,1314.0,,,,,,,,,,,758.0,,,,,,,,,,,,,,,,,,
NaNi4(PO4)3,Na,,,,1012.0,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
Na(CuO)2,Na,,,,,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaNbO3,Na,,,,,1314.0,,,,,,,,,,,,,,,,664.0,,,,,,,,,,,,,
Na3V2(PO4)3,Na,,,,1012.0,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na2Ni3(P2O7)2,Na,,,,1012.0,1314.0,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
NaMn(PO3)3,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
NaMo3P3O13,Na,,,,1012.0,1314.0,,,,,,,,,,685.0,,,,,,,,,,,,,,,,,,,
Na13Ti24O54,Na,,,,,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
NaMn2O4,Na,,,,,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
NaVO2,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
NaV3P3O13,Na,,,,1012.0,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na2MnP2O7,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
Na2V3P2O13,Na,,,,1012.0,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
NaCoO2,Na,,,,,1314.0,,,,,,,,,,,758.0,,,,,,,,,,,,,,,,,,
NaV2O4,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
NaTi2O4,Na,,,,,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
